Title,Title_URL,Content
"Nata Ragini, Page from a Ragamala Series",https://www.brooklynmuseum.org/opencollection/objects/111972,"
      IndianNata Ragini, Page from a Ragamala Seriesca. 1675    "
Landscape,https://www.brooklynmuseum.org/opencollection/objects/167709,"
      David VinckboonsDutch, 1576–ca. 1633Landscapeca. 1620    "
Vase,https://www.brooklynmuseum.org/opencollection/objects/1405,"
      Union Porcelain Works1863–ca. 1922Vaseca. 1884    "
Leg Splint,https://www.brooklynmuseum.org/opencollection/objects/1677,"
      Charles Eames; Ray Eames (Bernice Alexandra Kaiser); Evans Products CompanyLeg Splintdesigned 1941–1942; man...    "
Sparton Table Radio,https://www.brooklynmuseum.org/opencollection/objects/1679,"
      Sparks-Withington Co.; Walter Dorwin TeagueSparton Table Radioca. 1936    "
"""Normandie"" Pitcher",https://www.brooklynmuseum.org/opencollection/objects/1688,"
      Peter Muller-Munk; Revere Copper and Brass Company""Normandie"" Pitcherca. 1935    "
Ewer with Cover,https://www.brooklynmuseum.org/opencollection/objects/3626,"
      Ewer with Coverfirst half 12th century    "
"Anthropoid Coffin of the Servant of the Great Place, Teti",https://www.brooklynmuseum.org/opencollection/objects/3932,"
      Anthropoid Coffin of the Servant of the Great Place, Tetica. 1339–1307 B.C.E.    "
Weil-Worgelt Study,https://www.brooklynmuseum.org/opencollection/objects/96192,"
      Alavoine of Paris and New YorkWeil-Worgelt Studyca. 1928–1930    "
Century Vase,https://www.brooklynmuseum.org/opencollection/objects/713,"
      Karl L. H. Müller; Union Porcelain WorksCentury Vase1876    "
Brush Jar with an Imperial Inscription,https://www.brooklynmuseum.org/opencollection/objects/3106,"
      Brush Jar with an Imperial Inscription18th century    "
Statue of Ity-sen,https://www.brooklynmuseum.org/opencollection/objects/3432,"
      Statue of Ity-senca. 2500–2350 B.C.E.    "
Nefertiti and Her Daughter,https://www.brooklynmuseum.org/opencollection/objects/3700,"
      Nefertiti and Her Daughterca. 1352–1336 B.C.E.    "
Bound Nubian Prisoner,https://www.brooklynmuseum.org/opencollection/objects/3817,"
      EgyptianBound Nubian Prisonerca. 1979–1801 B.C.E.    "
Chair,https://www.brooklynmuseum.org/opencollection/objects/3948,"
      Chairca. 1400–1292 B.C.E.    "
Isis Nursing Horus,https://www.brooklynmuseum.org/opencollection/objects/4035,"
      EgyptianIsis Nursing Horusca. 712–525 B.C.E.    "
Tianhuang Seal,https://www.brooklynmuseum.org/opencollection/objects/4295,"
      Qian SongChinese, 1807–1860Tianhuang Sealfirst half 19th century    "
Spherical Hanging Ornament,https://www.brooklynmuseum.org/opencollection/objects/4742,"
      Spherical Hanging Ornament1575–1585    "
Relief of Sandaled Feet of a Royal Woman,https://www.brooklynmuseum.org/opencollection/objects/78060,"
      Relief of Sandaled Feet of a Royal Woman1352–1332 B.C.E.    "
Bowl with Peacock Motif,https://www.brooklynmuseum.org/opencollection/objects/104137,"
      Bowl with Peacock Motifca. 1200–1230    "
Relief Representation of Goatherd with Goat and Trees,https://www.brooklynmuseum.org/opencollection/objects/124817,"
      Relief Representation of Goatherd with Goat and Treesca. 1350–1333 B.C.E.    "
"Khusraw Discovers Shirin Bathing, From Pictorial Cycle of Eight Poetic Subjects",https://www.brooklynmuseum.org/opencollection/objects/157598,"
      Khusraw Discovers Shirin Bathing, From Pictorial Cycle of Eight Poetic Subjectsmid 18th century    "
Armchair,https://www.brooklynmuseum.org/opencollection/objects/1246,"
      Armchair1750–1800    "
Vase,https://www.brooklynmuseum.org/opencollection/objects/1303,"
      Edwin ScheierAmerican, 1910–2008Vaseca. 1966    "
Bust,https://www.brooklynmuseum.org/opencollection/objects/1414,"
      Union Porcelain Works1863–ca. 1922Bustlate 19th century    "
"""Diamond"" Armchair",https://www.brooklynmuseum.org/opencollection/objects/1589,"
      Harry Bertoia; Knoll Associates""Diamond"" ArmchairDesigned 1952; Manufactured ca. 1970    "
"Buffet Plate, from Four-Piece ""Notebook"" Setting",https://www.brooklynmuseum.org/opencollection/objects/1762,"
      Robert Venturi; Swid PowellBuffet Plate, from Four-Piece ""Notebook"" SettingDesigned 1984    "
"Luncheon Plate, from Four-Piece ""Notebook"" Setting",https://www.brooklynmuseum.org/opencollection/objects/1763,"
      Robert Venturi; Swid PowellLuncheon Plate, from Four-Piece ""Notebook"" Settingca. 1985    "
One Family House Chair,https://www.brooklynmuseum.org/opencollection/objects/1814,"
      Kate LoyeOne Family House ChairDesigned 1984; this example made 1986    "
Saddle Ornaments,https://www.brooklynmuseum.org/opencollection/objects/1941,"
      Saddle Ornaments10th century    "
Armchair (Egyptian Revival style),https://www.brooklynmuseum.org/opencollection/objects/2125,"
      Pottier & Stymus Manufacturing Company; P. E. GuerinArmchair (Egyptian Revival style)ca. 1870    "
"Coffeepot with Lid, ""Museum"" Pattern",https://www.brooklynmuseum.org/opencollection/objects/2133,"
      Eva Zeisel; Shenago Co., Castleton China Co.Coffeepot with Lid, ""Museum"" Patternca. 1942–1943    "
"Creamer, ""Museum"" Pattern",https://www.brooklynmuseum.org/opencollection/objects/2134,"
      Eva Zeisel; Shenago Co., Castleton China Co.Creamer, ""Museum"" Patternca. 1942–1943    "
"Sugar Bowl with Lid, ""Museum"" Pattern",https://www.brooklynmuseum.org/opencollection/objects/2135,"
      Eva Zeisel; Shenago Co., Castleton China Co.Sugar Bowl with Lid, ""Museum"" Patternca. 1942–1943    "
"Cocktail Glass, One of Eight",https://www.brooklynmuseum.org/opencollection/objects/2191,"
      Norman Bel Geddes; Revere Copper and Brass CompanyCocktail Glass, One of Eight1937    "
"Side Chair, Model 304",https://www.brooklynmuseum.org/opencollection/objects/2428,"
      Kimbel and Cabus1863–1882Side Chair, Model 304ca. 1875    "
Ceremonial seat (ngundja),https://www.brooklynmuseum.org/opencollection/objects/2899,"
      ChokweCeremonial seat (ngundja)19th century    "
Figure of Mother and Child (Phemba),https://www.brooklynmuseum.org/opencollection/objects/2948,"
      YombeFigure of Mother and Child (Phemba)19th century    "
Shrine with an Image of the Buddha Amitayus,https://www.brooklynmuseum.org/opencollection/objects/3256,"
      Shrine with an Image of the Buddha Amitayus1736–1795    "
Amunhotep III,https://www.brooklynmuseum.org/opencollection/objects/3496,"
      Amunhotep IIIca. 1390–1352 B.C.E.    "
Falcon Head Endpiece of a Necklace,https://www.brooklynmuseum.org/opencollection/objects/3523,"
      Falcon Head Endpiece of a Necklaceca. 1938–1759 B.C.E.    "
Model of a Temple Gateway,https://www.brooklynmuseum.org/opencollection/objects/3543,"
      Model of a Temple Gatewayca. 1290–1279 B.C.E.    "
Garment Hook in the Form of a Fish,https://www.brooklynmuseum.org/opencollection/objects/3559,"
      Garment Hook in the Form of a Fish206 B.C.E.–221 C.E.    "
Hairdressing Scene,https://www.brooklynmuseum.org/opencollection/objects/3568,"
      EgyptianHairdressing Sceneca. 2008–1957 B.C.E.    "
Statue of Metjetji,https://www.brooklynmuseum.org/opencollection/objects/3593,"
      Statue of Metjetjica. 2371–2288 B.C.E.    "
Sunk Relief of Queen Neferu,https://www.brooklynmuseum.org/opencollection/objects/3599,"
      Sunk Relief of Queen Neferuca. 2008–1957 B.C.E.    "
Wine Vessel (Zun) in the Form of a Goose,https://www.brooklynmuseum.org/opencollection/objects/3605,"
      Wine Vessel (Zun) in the Form of a Goose206 B.C.E.–220 C.E.    "
Doorjamb of Thaasetimu,https://www.brooklynmuseum.org/opencollection/objects/3627,"
      Doorjamb of Thaasetimuca. 381–362 B.C.E.    "
Statue of Ipepy,https://www.brooklynmuseum.org/opencollection/objects/3636,"
      Statue of Ipepyca. 1870–1750 B.C.E.    "
Head of a Kushite Ruler,https://www.brooklynmuseum.org/opencollection/objects/3685,"
      Egyptian; NubianHead of a Kushite Rulerca. 716–702 B.C.E.    "
Jewelry Box (?) with Lid,https://www.brooklynmuseum.org/opencollection/objects/3705,"
      Jewelry Box (?) with Lidca. 1539–1425 B.C.E.    "
Relief with Desert Scene,https://www.brooklynmuseum.org/opencollection/objects/3726,"
      Relief with Desert Sceneca. 2472–2455 B.C.E.    "
Garment Hook,https://www.brooklynmuseum.org/opencollection/objects/3774,"
      Garment Hook475–221 B.C.E.    "
Egyptian Man in a Persian Costume,https://www.brooklynmuseum.org/opencollection/objects/3807,"
      Egyptian Man in a Persian Costumeca. 343–332 B.C.E.    "
Detail from a Row of Foreigners,https://www.brooklynmuseum.org/opencollection/objects/3839,"
      EgyptianDetail from a Row of Foreignersca. 1353–1336 B.C.E.    "
Decorated Jug,https://www.brooklynmuseum.org/opencollection/objects/3931,"
      Greek; MinoanDecorated Jugca. 1575–1500 B.C.E.    "
Shabty of Sati,https://www.brooklynmuseum.org/opencollection/objects/3972,"
      Shabty of Satica. 1390–1352 B.C.E.    "
Shabty of Psamtek,https://www.brooklynmuseum.org/opencollection/objects/3979,"
      Shabty of Psamtek664–525 B.C.E.    "
Amun-Re in a Crown with Tall Plumes,https://www.brooklynmuseum.org/opencollection/objects/3995,"
      Amun-Re in a Crown with Tall Plumesca. 760–656 B.C.E.    "
Striding Figure of a Priest,https://www.brooklynmuseum.org/opencollection/objects/4031,"
      Striding Figure of a Priestca. 1070–656 B.C.E.    "
One of the Souls of Buto in the Pose of Rejoicing,https://www.brooklynmuseum.org/opencollection/objects/4037,"
      One of the Souls of Buto in the Pose of Rejoicingca. 664–525 B.C.E. or later    "
Headrest with Birth Gods on Base and Neck Support,https://www.brooklynmuseum.org/opencollection/objects/4038,"
      Headrest with Birth Gods on Base and Neck Supportca. 1390–1292 B.C.E.    "
Headrest with Two Images of the God Bes,https://www.brooklynmuseum.org/opencollection/objects/4039,"
      Headrest with Two Images of the God Besca. 1539–1190 B.C.E.    "
"""Marriage Scarab"" of Amunhotep III and Queen Tiye",https://www.brooklynmuseum.org/opencollection/objects/4041,"
      ""Marriage Scarab"" of Amunhotep III and Queen Tiyeca. 1390–1353 B.C.E.    "
