Image,Education_URL,Title,Time Period,Author,Location
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT1350.jpg,https://www.metmuseum.org/art/collection/search/486578,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-28008-001.jpg,https://www.metmuseum.org/art/collection/search/436598,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564697,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/559262,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/14_6_579ac.jpg,https://www.metmuseum.org/art/collection/search/564760,Fragment Preserving Both the Interior and Exterior Surfaces of Siptah's Canopic Chest.,ca. 1194–1188 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/566490,Canopic jar,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/14.6.248_EGDP015304.jpg,https://www.metmuseum.org/art/collection/search/555478,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-32_2_20_EGDP027924.jpg,https://www.metmuseum.org/art/collection/search/557578,Model Dish from a Foundation Depsoit,ca. 1479–1425 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/15.3.182_EGDP017977.jpg,https://www.metmuseum.org/art/collection/search/557357,Plaque of alabaster,ca. 1981–1640 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.130_132_133_137_135_134_140_127_128.jpg,https://www.metmuseum.org/art/collection/search/546821,Wedjat Eye Amulet,ca. 1850–1700 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/548662,Storage Jar,ca. 1479–1425 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/12.180.364.jpg,https://www.metmuseum.org/art/collection/search/551851,Mold for Bes-image Amulet,ca. 1390–1352 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564714,Fragment of the Siptah's Canopic Chest,ca. 1194–1188 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555334,Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/553812,Nut in a Sycomore Tree Amulet (?),664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/135847.jpg,https://www.metmuseum.org/art/collection/search/544003,Tablet from the foundation deposit of Mentuhotep II,ca. 2060–2010 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-09_180_2357_EGDP037308.jpg,https://www.metmuseum.org/art/collection/search/555432,Sakhmet or Bastet amulet,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564795,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552804,Double ba-bird Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-22_1_742_EGDP026534.jpg,https://www.metmuseum.org/art/collection/search/556844,Magical figure of captive,ca. 1981–1650 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/62.64.3_EGDP021637.jpg,https://www.metmuseum.org/art/collection/search/545817,Taweret amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP278090.jpg,https://www.metmuseum.org/art/collection/search/544025,"Jar, piriform",ca. 1550–1458 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/10.130.2479_EGDP017278.jpg,https://www.metmuseum.org/art/collection/search/558845,Bead with figure,100 BC–100 AD,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP160300.jpg,https://www.metmuseum.org/art/collection/search/550190,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/89.2.280_acc.jpg,https://www.metmuseum.org/art/collection/search/552797,Djed pillar Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/25.3.46a_EGDP013558.jpg,https://www.metmuseum.org/art/collection/search/544464,Ointment Jar,ca. 1479–1458 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/M_2069.jpg,https://www.metmuseum.org/art/collection/search/555298,Ibis Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DT1756.jpg,https://www.metmuseum.org/art/collection/search/484894,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/544335,Canopic jar of princess Sithathoryunet - Duamutef,ca. 1887–1813 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/25.3.169c_EGDP017218.jpg,https://www.metmuseum.org/art/collection/search/694159,Wedjat eye from string of amulets,ca. 1070–945 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-25620-001.jpg,https://www.metmuseum.org/art/collection/search/436149,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564627,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-27_3_612a_c_EGDP034867.jpg,https://www.metmuseum.org/art/collection/search/552563,Winged Scarab amulet,ca. 1070–525 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT2098.jpg,https://www.metmuseum.org/art/collection/search/12800,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564672,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/23.10.54_EGDP017179.jpg,https://www.metmuseum.org/art/collection/search/561558,Re-Harakhty amulet,664–380 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT7600.jpg,https://www.metmuseum.org/art/collection/search/11480,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/15.3.765_EGDP015726.jpg,https://www.metmuseum.org/art/collection/search/556906,Jar lid,ca. 1981–1640 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/11.215.447_view_1.jpg,https://www.metmuseum.org/art/collection/search/551381,Heart Amulet,ca. 1390–1352 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/rl/mobile-large/DP-24666-001.jpg,https://www.metmuseum.org/art/collection/search/459089,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/16.10.482.jpg,https://www.metmuseum.org/art/collection/search/549991,Inscribed Ointment Jar From Foundation Deposit 2 of Hatshepsut's Valley Temple,ca. 1479–1458 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555323,Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DP295703.jpg,https://www.metmuseum.org/art/collection/search/499035,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/544033,Bowl,ca. 1550–1295 B.C.,Unknown Author,"40.7794, -73.9632"
